Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
1146,1597/1,2004-07-28,n,Aliaus Riškevičiaus prekybos įmonė,151307760,,,Naujasodis,"paviljonas, Taikos pr. 135B, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",6–22 val.,,,,,,išsinešti
1147,1597/2,2005-08-29,n,Aliaus Riškevičiaus prekybos įmonė,151307760,,,Naujasodis,"paviljonas, Taikos pr. 135B, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
1148,1597/3,2008-05-16,n,Aliaus Riškevičiaus prekybos įmonė,151307760,,,Aleksotas,"kioskas, Veiverių g. 47B, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",nenurodytas,,,,,,išsinešti
1149,1957,2009-10-07,n,Uždaroji akcinė bendrovė „Pušų paunksnėje“,152608147,,,Gričiupis,"kavinė, Pašilės g. 39A, Kaunas",alkoholiniais gėrimais,11–24 val.,,,,,,gerti ten pat ir išsinešti
1150,1857,2008-02-15,n,Uždaroji akcinė bendrovė „IREDANA“,152642174,,,Gričiupis,"kavinė, Studentų g. 16, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1151,456/2,2002-01-16,n,IĮ „Girus“,152669036,,,Dainava,"baras, V. Krėvės pr. 28A",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1152,456/3,2002-05-08,n,Janinos Bazevičienės personalinė įmonė,152669036,,,Naujamiestis,"kavinė, Laisvės al. 87A",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1153,1906,2008-12-16,n,UAB „INKONTAS“,157039739,,,Naujamiestis,"restoranas ir mini barai viešbučio kambariuose, Vytauto pr. 25, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1154,1906/1,2008-12-16,n,UAB „INKONTAS“,157039739,,,Naujamiestis,"baras 9 a., Vytauto pr. 25, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1155,1709,2005-06-23,n,A. Tamošiūnienės personalinė įmonė,158896521,,,Dainava,"specializuotas parduotuvės skyrius, V. Krėvės pr. 64-83, Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
1156,1709/1,2007-06-26,n,A. Tamošiūnienės personalinė įmonė,158896521,,,Eiguliai,"specializuotas parduotuvės skyrius, S. Žukausko g. 19-57, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1157,2309,2013-12-12,n,UAB „Eidina“,158950093,,,Palemonas,"parduotuvės alkoholinių gėrimų skyrius, Neveronių g. 17, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1158,1550,2003-09-10,n,UAB „Kaišiadorių paukštyno mažmena“,158986919,,,Freda,"specializuotas parduotuvės skyrius, Veiverių g. 51",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1159,1550/1,2008-10-16,n,Uždaroji akcinė bendrovė „Kaišiadorių paukštyno mažmena“,158986919,,,Žaliakalnis,"specializuotas alkoholinių gėrimų prekybos skyrius, K. Petrausko g. 25, Kaunas",alkoholiniais gėrimais,9–22 val.,,,,,,išsinešti
1160,884,1999-01-20,n,Nijolės Žaltauskienės įmonė „Punia“,159515674,,,Rokai,"kavinė, Marijampolės pl. 20",alkoholiniais gėrimais,8–6 val.,,,,,,gerti ten pat ir išsinešti
1161,884/1,2001-01-17,n,Nijolės Žaltauskienės įmonė „Punia“,159515674,,,Rokai,"degalinė, Marijampolės pl. 20","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–6 val.,,,,,,išsinešti
1162,884/2,2007-02-28,n,Nijolės Žaltauskienės įmonė „Punia“,159515674,,,Rokai,"degalinė, Marijampolės pl. 20, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1163,1152/1,2001-04-19,n,UAB „GKRAM“,159528892,,,Naujamiestis,kioskas prie namo Laisvės al. 89,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
1164,1152/2,2001-12-19,n,UAB „GKRAM“,159528892,,,Žaliakalnis,"specializuotas parduotuvės skyrius, Savanorių pr. 204-28",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1165,1152/3,2004-03-16,n,UAB „GKRAM“,159528892,,,Naujamiestis,kioskas Nr. 4 prie pastato Laisvės al. 89,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
1166,1479,2002-12-23,n,UAB „Kas“,159577131,,,Panemunė,"kavinė, Vaidoto g. 158",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1167,1479/1,2004-07-13,n,UAB „Kas“,159577131,,,Vilijampolė,"paviljonas, specializuotas alkoholinių gėrimų prekybos skyrius,Linkuvos g. 7, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1168,1479/2,2006-02-27,n,UAB „Kas“,159577131,,,Freda,"specializuotas parduotuvės skyrius, Europos pr. 64, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1169,1479/3,2006-11-28,n,Uždaroji akcinė bendrovė „KAS“,159577131,,,Kazliškiai,"specializuotas parduotuvės skyrius, Senosios Obels g. 1, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1170,1245,2001-06-17,n,UAB „Jargala“,159592425,,,Smėliai,"specializuota parduotuvė, pastatas 2B1p, Žemaičių pl. 67",alkoholiniais gėrimais,6–24 val.,,,,,,išsinešti
1171,1245/1,2006-11-09,n,UAB „Jargala“,159592425,,,Eiguliai,"specializuota alkoholinių gėrimų parduotuvė, P. Lukšio g. 7A, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1172,122,1997-08-01,n,UAB „Apynys“,159605723,,,Vaišvydava,"baras, Rusmenių g. 35",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
1173,122/1,2000-05-17,n,UAB „Apynys“,159605723,,,Naujasodis,"baras, Pramonės pr. 16, pastato 8F1b 6-6 patalpoje","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–20 val.,,,,,,gerti ten pat ir išsinešti (išpilstant į vartotojo tarą)
1174,122/2,2002-01-09,n,UAB „Apynys“,159605723,,,Vaišvydava,"paviljonas, Medynėlių g. 1","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–20 val.,,,,,,išsinešti
1175,122/4,2004-09-16,n,UAB „Apynys“,159605723,,,Senamiestis,"baras, Jonavos g. 26A, Kaunas",alkoholiniais gėrimais,9–3 val.,,,,,,gerti ten pat ir išsinešti
1176,1158/1,2004-03-01,n,Zitos Kažemėkaitienės įmonė „Zinija“,159629966,,,Naujamiestis,"specializuotas parduotuvės skyrius, Laisvės al. 15C",alkoholiniais gėrimais,7–22 val.,,,,,,išsinešti
1177,832/2,2000-09-21,n,Alfonso Matako įmonė „Skydas“,159673610,,,Vaišvydava,"baras, Piliuonos g. 64",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1178,832/4,2001-09-21,n,Alfonso Matako įmonė „Skydas“,159673610,,,Vaišvydava,"parduotuvė, Piliuonos g. 64","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
1179,245/1,2000-07-19,n,UAB „Pas Smailį“,159702542,,,Kazliškiai,"specializuotas parduotuvės skyrius, Tirkiliškių g. 49",alkoholiniais gėrimais,8–24 val.,,,,,,išsinešti
1180,1690,2005-03-31,n,UAB „Šarilita“,159702695,,,Eiguliai,"specializuotas parduotuvės skyrius, Geležinio Vilko g. 17-55, Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
1181,1354,2002-01-16,n,UAB „Savas kampas“,159703797,,,Gričiupis,"specializuotas parduotuvės skyrius, Taikos pr. 70",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1182,2369,2014-10-23,n,MB „Argija“,159706416,,,Senamiestis,"kavinė, Vilniaus g. 26-20, Kaunas",alkoholiniais gėrimais,10–24 val.,,,,,,vartoti vietoje
1183,1006/4,2002-07-31,n,UAB „Giluva“,159740062,,,Freda,"specializuotas parduotuvės skyrius, Europos pr. 71",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1184,2021,2010-09-02,n,Uždaroji akcinė bendrovė „Katalėja“,159765788,,,Eiguliai,"specializuotas alkoholinių gėrimų prekybos skyrius, Šiaurės pr. 67-1, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1185,290,1997-08-01,n,UAB „Bagaras“,159797063,,,Rokai,"specializuotas parduotuvės skyrius, J. Borutos g. 21",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1186,290/2,1997-11-26,n,UAB „Bagaras“,159797063,,,Rokai,"baras, J. Borutos g. 23",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1187,290/1,2002-02-20,n,UAB „Bagaras“,159797063,,,Rokai,"kavinė-baras, J. Borutos g. 21",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1188,1673,2005-01-13,n,UAB „Šauka“,159807251,,,Naujamiestis,"baras, Vytauto pr. 44, Kaunas",alkoholiniais gėrimais,8–17 val.,,,,,,gerti ten pat ir išsinešti
1189,271/2,2001-08-23,n,Marijonos Vaičiukynienės įmonė,159810767,,,Rokai,"specializuotas parduotuvės skyrius, Rokelių g. 15",alkoholiniais gėrimais,7–22 val.,,,,,,išsinešti
1190,803/2,2002-04-15,n,Gintauto Radzevičiaus firma,159816115,,,Vaišvydava,"baras, Mergasalio g. 2",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1191,1545,2003-08-29,n,Zitos Bružienės įmonė,159841474,,,Naujasodis,"parduotuvė vakarinės galerijos 5 salėje, Pramonės pr. 16 (3F1b)","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–18 val.,,,,,,išsinešti
1192,1545/1,2009-01-23,n,Zitos Bružienės įmonė,159841474,,,Naujasodis,"specializuotas alkoholinių gėrimų prekybos skyrius, Vakarinė galerija, 5 salė, Pramonės pr. 16 (3F1b), Kaunas",alkoholiniais gėrimais,9–18 val.,,,,,,išsinešti
1193,343/1,2001-01-31,n,UAB „Riešutas ir Ko“,159854692,,,Senamiestis,"specializuotas parduotuvės skyrius, Vilniaus g. 3",alkoholiniais gėrimais,7–24 val.,,,,,,išsinešti
1194,418/1,1997-08-29,n,Kauno rajono centrinis vartotojų kooperatyvas,159857083,,,Rokai,"specializuotas parduotuvės skyrius, Rokų g. 23",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1195,418/5,2006-04-11,n,Kauno rajono centrinis vartotojų kooperatyvas,159857083,,,Vaišvydava,"specializuotas parduotuvės skyrius, Piliuonos g. 32, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1196,418/7,2007-10-24,n,Kauno rajono centrinis vartotojų kooperatyvas,159857083,,,Kalniečiai,"specializuotas parduotuvės skyrius, Kalniečių g. 186, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1197,1748,2006-02-14,n,Varvaros Barisienės įmonė,159864996,,,Dainava,"baras, Savanorių pr. 352, Kaunas",alkoholiniais gėrimais,9–19 val.,,,,,,gerti ten pat ir išsinešti
1198,2436,2015-07-29,n,UAB „Antirijus“,159868717,,,Senamiestis,"kavinė, Vilniaus g. 14-4 , Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,vartoti vietoje ir išsinešti
1199,1370,2002-03-13,n,Vidos Špilevičienės įmonė „Mandarinas“,159874613,,,Naujasodis,"specializuotas parduotuvės skyrius, Partizanų g. 89A",alkoholiniais gėrimais,7–22 val.,,,,,,išsinešti
1200,1650,2004-09-14,n,Elvyros Pilvelienės įmonė „Elvidava“,159895746,,,Vaišvydava,"specializuotas parduotuvės skyrius, Rūko g. 13, Kaunas",alkoholiniais gėrimais,8–23 val.,,,,,,išsinešti
1201,1564,2003-10-20,n,UAB „Du skorpionai“,159952656,,,Kazliškiai,"specializuotas parduotuvės skyrius, Senosios Obels g. 1",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1202,2222,2012-12-13,n,UAB „Gėlių sala“,159978373,,,Kazliškiai,"parduotuvės alkoholinių gėrimų skyrius, Veiverių g. 150, Kaunas",alkoholiniais gėrimais,8–20 val.,,,,,,išsinešti
1203,1768/1,2011-09-30,n,UAB „ORDEN“,159984999,,,Žaliakalnis,"kavinė, Jonavos g. 62, Kaunas",alkoholiniais gėrimais,8–17 val.,,,,,,gerti ten pat
1204,1768/2,2012-10-15,n,UAB „ORDEN“,159984999,,,Žaliakalnis,"kavinė, Aušros g. 42A, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1205,1768/3,2013-09-13,n,UAB „ORDEN“,159984999,,,Naujasodis,"kavinė, Draugystės g. 10, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1206,1623,2004-06-01,n,D. Milašienės firma,159987237,,,Sargėnai,"kioskas, Vandžiogalos g. 15, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–20 val.,,,,,,išsinešti
1207,1623/1,2004-08-17,n,D. Milašienės firma,159987237,,,Milikoniai,"kioskas, prieš pastatą Šarkuvos g. 22, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–20 val.,,,,,,išsinešti
1208,1623/2,2007-04-26,n,D. Milašienės firma,159987237,,,Eiguliai,"specializuotas parduotuvės skyrius, Šiaurės pr. 99D, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1209,1722,2005-09-19,n,L. Stravinskienės firma,159987618,,,Naujamiestis,"kavinė, Gedimino g. 42, Kaunas",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1210,1581,2003-12-04,n,Laimos Jasulaitienės įmonė,159991278,,,Naujamiestis,"kavinė-baras, Vytauto pr. 43","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–19 val.,,,,,,gerti ten pat ir išsinešti
1211,974/2,2001-01-04,n,UAB „Baltasis Linaris“,159996581,,,Marvelė,"specializuotas parduotuvės skyrius, Marvelės g. 90",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1212,1956,2009-10-07,n,Uždaroji akcinė bendrovė „Dansida“,160001150,,,Gričiupis,"kavinė, K. Baršausko g. 65, Kaunas",alkoholiniais gėrimais,10–2 val.,,,,,,gerti ten pat ir išsinešti
1213,1521,2003-06-11,n,UAB „Utilsa“,160288387,,,Vaišvydava,"baras, Rūko g. 12",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
1214,1319/1,2003-04-30,n,UAB „Saulius ir Kristupas“,160296334,,,Vaišvydava,"specializuotas parduotuvės skyrius, Piliuonos g. 16",alkoholiniais gėrimais,6–24 val.,,,,,,išsinešti
1215,1319/2,2004-07-20,n,UAB „Saulius ir Kristupas“,160296334,,,Rokai,"specializuotas parduotuvės skyrius, J. Borutos g. 21, Kaunas",alkoholiniais gėrimais,8–23 val.,,,,,,išsinešti
1216,1319/3,2010-04-20,n,UAB „SAULIUS IR KRISTUPAS“,160296334,,,Žaliakalnis,"specializuotas alkoholinių gėrimų prekybos skyrius, Zanavykų g. 25E, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1217,1659,2004-11-11,n,UAB „Gudis“,160296487,,,Gričiupis,"baras, A. ir J. Gravrogkų g. 4, Kaunas",alkoholiniais gėrimais,7–4 val.,,,,,,gerti ten pat ir išsinešti
1218,1273,2001-07-04,n,Laimos Šalomskienės firma,160305388,,,Palemonas,"baras, Ateities pl. 50",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
1219,1797,2006-12-08,n,UAB „Spirgelis“,160417280,,,Amaliai,"baras, Agurklių takas 12 / Mairūnų takas 2, Kaunas",alkoholiniais gėrimais,9–24 val.,,,,,,gerti ten pat ir išsinešti
1220,1462,2002-11-08,n,Reginos Rukienės įmonė,160424855,,,Panerys,"kavinė, Panerių g. 151",alkoholiniais gėrimais,9–23 val.,,,,,,gerti ten pat ir išsinešti
1221,1462/1,2004-09-14,n,Reginos Rukienės įmonė,160424855,,,Eiguliai,"specializuotas parduotuvės skyrius, Šiaurės pr. 99D, Kaunas",alkoholiniais gėrimais,7–22 val.,,,,,,išsinešti
1222,1462/2,2004-09-14,n,Reginos Rukienės įmonė,160424855,,,Marvelė,"baras, Marvelės g. 18, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–23 val.,,,,,,gerti ten pat ir išsinešti
1223,1462/3,2004-10-12,n,Reginos Rukienės įmonė,160424855,,,Naujamiestis,"kavinė, Kęstučio g. 74A, Kaunas",alkoholiniais gėrimais,7–23 val.,,,,,,gerti ten pat ir išsinešti
1224,1462/4,2005-11-10,n,Reginos Rukienės įmonė,160424855,,,Naujamiestis,"specializuotas parduotuvės skyrius, K. Donelaičio g. 40-1, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1225,1462/5,2007-04-18,n,Reginos Rukienės įmonė,160424855,,,Eiguliai,"specializuotas parduotuvės skyrius, V. Landsbergio-Žemkalnio g. 30-1, Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
1226,1926,2009-04-03,n,UAB „ILREGITA“,160428490,,,Kazliškiai,"kavinė, Armoniškių g. 31, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
1227,1556,2003-09-26,n,Leonijos Kisiel įmonė,160447843,,,Senamiestis,"kavinė, Kurpių g. 11 / Vilniaus g. 34",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
1228,1584,2003-12-18,n,UAB „Mažoji svaja“,160452452,,,Senamiestis,"cukrainė, Laisvės al. 99A",alkoholiniais gėrimais,8–19 val.,,,,,,gerti ten pat ir išsinešti
1229,1584/1,2004-01-15,n,UAB „Mažoji svaja“,160452452,,,Vilijampolė,"kavinė-baras, Linkuvos g. 58",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat ir išsinešti
1230,1616/1,2005-03-08,n,UAB „Ginkris“,160452833,,,Smėliai,"kavinė-baras, Baltijos g. 26A, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
1231,1616/2,2005-03-08,n,UAB „Ginkris“,160452833,,,Smėliai,"specializuotas parduotuvės skyrius, Baltijos g. 26A, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1232,2012,2010-07-13,n,Uždaroji akcinė bendrovė „MAKVEŽA“,161621777,,,Palemonas,"specializuotas alkoholinių gėrimų prekybos skyrius, Ateities pl. 30A, Kaunas",alkoholiniais gėrimais,8–19 val.,,,,,,išsinešti
1233,2012/1,2011-03-03,n,Uždaroji akcinė bendrovė „MAKVEŽA“,161621777,,,Freda,"specializuotas alkoholinių gėrimų prekybos skyrius, Veiverių g. 51C, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1234,2012/2,2015-06-02,n,Uždaroji akcinė bendrovė „MAKVEŽA“,161621777,,,Veršvai,"parduotuvės alkoholinių gėrimų skyrius, Raudondvario pl. 205, Kaunas",alkoholiniais gėrimais,8–20 val.,,,,,,išsinešti
1235,2319,2014-01-17,n,Uždaroji akcinė bendrovė „ROTADA“,165812922,,,Palemonas,"degalinė, Ateities pl. 40B, Kaunas",alkoholiniais gėrimais,8–22 val.,2016-03-23,,,,,išsinešti
1236,2613,2018-06-06,n,Uždaroji akcinė bendrovė „Grūstė“,166576122,,,Aukštieji Šančiai,"parduotuvės alkoholinių gėrimų skyrius, Verkių g. 6, Kaunas",alkoholiniais gėrimais,"10–20 val. pirmadieniais–šeštadieniais, 10–15 val. sekmadieniais",,,,,,išsinešti
1237,2613/1,2018-06-06,n,Uždaroji akcinė bendrovė „Grūstė“,166576122,,,Rokai,"parduotuvės alkoholinių gėrimų skyrius, J. Borutos g. 2, Kaunas",alkoholiniais gėrimais,"10–20 val. pirmadieniais–šeštadieniais, 10–15 val. sekmadieniais",,,,,,išsinešti
1238,1602,2004-03-01,n,UAB „Tomega“,166796392,,,Vilijampolė,"degalinė, Betygalos g. 8",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1239,1602/1,2010-08-11,n,UAB „Tomega“,166796392,,,Panerys,"degalinė, Panerių g. 222, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1240,1061/3,2002-08-28,n,AB „Ventus-nafta“,166920025,,,Dainava,"degalinė, Pramonės pr. 37",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1241,1061/5,2002-09-01,n,AB „Ventus-nafta“,166920025,,,Kazliškiai,"degalinė, Veiverių g. 148B",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1242,1061/6,2006-06-30,n,Akcinė bendrovė „Ventus-Nafta“,166920025,,,Vilijampolė,"degalinė, Varnių g. 50, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
1243,2374,2014-11-12,n,Akcinė bendrovė „Išlaužo žuvis“,170694265,,,Senamiestis,"parduotuvės alkoholinių gėrimų skyrius, Šv. Gertrūdos g. 70, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurių tūrinė etilo alkoholio koncentracija neviršija 7,5 proc.",9–19 val.,,,,,,išsinešti
1244,1897,2008-10-22,n,UAB „Džesklauda“,170707563,,,Naujamiestis,"baras, Laisvės al. 75 / Maironio g. 24, Kaunas",alkoholiniais gėrimais,"pirmadieniais–ketvirtadieniais 10–2 val., penktadieniais–sekmadieniais ir švenčių dienomis 10–4 val.",,,,,,gerti ten pat ir išsinešti
1245,1463/1,2012-06-29,n,UAB „Travers“,170743456,,,Panemunė,"stacionariosios parduotuvės specializuotas alkoholinių gėrimų skyrius, A. Smetonos al. 21, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1246,1739,2006-01-09,n,UAB „Ropokalnis“,171383694,,,Kleboniškis,"specializuotas parduotuvės skyrius, Kleboniškio g. 18, Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
1247,1996,2010-04-08,n,UŽDAROJI AKCINĖ BENDROVĖ „APSAGA“,175781368,,,Petrašiūnai,"degalinė, R. Kalantos g. 159, Kaunas",alkoholiniais gėrimais,8–22 val.,2017-07-31,,,,,išsinešti
1248,2375,2014-11-21,n,Uždaroji akcinė bendrovė „Jozita“,176618114,,,Milikoniai,"degalinė, Kuršių g. 13A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1249,2375/1,2014-11-21,n,Uždaroji akcinė bendrovė „Jozita“,176618114,,,Eiguliai,"degalinė, Jonavos g. 51, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
1250,2395,2015-02-13,n,UAB „LUKTARNA“,178715423,,,Smėliai,"degalinė, Baltijos g. 90B, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
